firstname, surname, year, category, motivation, country
Niels Ryberg,Finsen,1903,medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",Denmark
Charles Robert,Richet,1913,medicine,"in recognition of his work on anaphylaxis",France
Ivan Petrovich,Pavlov,1904,medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",Russia
Charles Louis Alphonse,Laveran,1907,medicine,"in recognition of his work on the role played by protozoa in causing diseases",France
Alexis,Carrel,1912,medicine,"in recognition of his work on vascular suture and the transplantation of blood vessels and organs",USA
Albrecht,Kossel,1910,medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",Germany
Paul,Ehrlich,1908,medicine,"in recognition of their work on immunity",Germany
Paul,Ehrlich,1908,medicine,"in recognition of their work on immunity",Germany
Ilya Ilyich,Mechnikov,1908,medicine,"in recognition of their work on immunity",France
,,1906,medicine,"in recognition of their work on the structure of the nervous system",Spain
Camillo,Golgi,1906,medicine,"in recognition of their work on the structure of the nervous system",Italy
